,image,coordinates,city,province,Abbreviation
"St. John's, Newfoundland and Labrador",https://cdn.britannica.com/92/2992-004-54C721CF/Flag-Newfoundland-and-Labrador.jpg,"(47.56177865517888, -52.71259687595664)",St. John's,Newfoundland and Labrador,"St. John's, NL"
"Charlottetown, Prince Edward Island",https://cdn.britannica.com/20/3620-050-0BFC3900/Flag-Prince-Edward-Island.jpg,"(46.235423801350336, -63.12948165734258)",Charlottetown,Prince Edward Island,"Charlottetown, PEI"
"Halifax, Nova Scotia",https://cdn.britannica.com/05/3105-004-7D8B6ACF/Flag-of-Nova-Scotia.jpg,"(44.64905427227179, -63.57554483409406)",Halifax,Nova Scotia,"Halifax, NS"
"Saint John, New Brunswick",https://cdn.britannica.com/89/2989-004-FBC3402E/Flag-New-Brunswick.jpg,"(45.27365523064238, -66.06300858805031)",Saint John,New Brunswick,"Saint John, NB"
"Québec, Quebec",https://cdn.britannica.com/72/3672-050-F722B733/Flag-Quebec.jpg,"(46.81393027412606, -71.20785928431472)",Québec,Québec,"Québec, QC"
"Montréal, Quebec",https://cdn.britannica.com/72/3672-050-F722B733/Flag-Quebec.jpg,"(45.509054516425635, -73.5543217727018)",Montréal,Québec,"Montréal, QC"
"Ottawa, Ontario",https://cdn.britannica.com/25/3225-050-700EE1AD/Flag-Ontario.jpg,"(45.42093649762718, -75.68997494386791)",Ottawa,Ontario,"Ottawa, ON"
"Toronto, Ontario",https://cdn.britannica.com/25/3225-050-700EE1AD/Flag-Ontario.jpg,"(43.65357184346397, -79.38405791506929)",Toronto,Ontario,"Toronto, ON"
"Thunder Bay, Ontario",https://cdn.britannica.com/25/3225-050-700EE1AD/Flag-Ontario.jpg,"(48.38253378898604, -89.24624213030977)",Thunder Bay,Ontario,"Thunder Bay, ON"
"Winnipeg, Manitoba",https://cdn.britannica.com/07/2307-050-B06EE365/Flag-Manitoba.jpg,"(49.89253834881722, -97.12085648892311)",Winnipeg,Manitoba,"Winnipeg, MB"
"Regina, Saskatchewan",https://cdn.britannica.com/18/3918-004-9D01BB0E/Flag-Saskatchewan.jpg,"(50.44839072202798, -104.61583390227035)",Regina,Saskatchewan,"Regina, SK"
"Saskatoon, Saskatchewan",https://cdn.britannica.com/18/3918-004-9D01BB0E/Flag-Saskatchewan.jpg,"(52.131129493257895, -106.6600427112982)",Saskatoon,Saskatchewan,"Saskatoon, SK"
"Edmonton, Alberta",https://cdn.britannica.com/40/5440-004-BE91E74F/Flag-Alberta.jpg,"(53.54577677748431, -113.49022008600703)",Edmonton,Alberta,"Edmonton, AB"
"Calgary, Alberta",https://cdn.britannica.com/40/5440-004-BE91E74F/Flag-Alberta.jpg,"(51.04609869865883, -114.05740490022106)",Calgary,Alberta,"Calgary, AB"
"Vancouver, British Columbia",https://cdn.britannica.com/77/6877-050-889A3BA7/Flag-British-Columbia.jpg,"(49.26093281009525, -123.11402260145366)",Vancouver,British Columbia,"Vancouver, BC"
"Victoria, British Columbia",https://cdn.britannica.com/77/6877-050-889A3BA7/Flag-British-Columbia.jpg,"(48.42820691184261, -123.36506428082036)",Victoria,British Columbia,"Victoria, BC"
"Whitehorse, Yukon",https://cdn.britannica.com/63/5263-004-1C2B7CDE/Flag-Yukon-Territory.jpg,"(60.72103063369641, -135.05270644880497)",Whitehorse,Yukon,"Whitehorse, YT"
"Yellowknife, Northwest Territories",https://cdn.britannica.com/68/14868-004-7FFF552D/Flag-Northwest-Territories.jpg,"(62.454545294204706, -114.37689442632609)",Yellowknife,Northwest Territories,"Yellowknife, NT"
