,"St. John's, Newfoundland and Labrador","Charlottetown, Prince Edward Island","Halifax, Nova Scotia","Saint John, New Brunswick","Québec, Quebec","Montréal, Quebec","Ottawa, Ontario","Toronto, Ontario","Thunder Bay, Ontario","Winnipeg, Manitoba","Regina, Saskatchewan","Saskatoon, Saskatchewan","Edmonton, Alberta","Calgary, Alberta","Vancouver, British Columbia","Victoria, British Columbia","Whitehorse, Yukon","Yellowknife, Northwest Territories"
1990-01-01,109.61,103.72,111.7,106.57,110.75,112.08,106.38,92.13,107.14,98.4,96.88,104.86,91.75,90.99,109.42,104.48,108.28,111.89
1990-02-01,109.84,103.42,110.97,105.88,111.16,111.35,106.07,95.88,106.63,97.76,96.25,104.18,91.35,92.29,110.78,107.01,108.33,111.73
1990-03-01,109.98,103.4,110.54,105.47,111.86,112.24,105.84,99.83,106.22,99.26,103.21,103.78,91.93,93.44,110.36,106.6,108.29,112.05
1990-04-01,111.48,106.03,110.54,105.47,113.36,113.74,106.22,97.2,109.98,97.57,103.21,103.78,96.07,97.57,112.61,108.85,109.04,112.8
1990-05-01,111.85,106.24,109.98,104.93,112.97,113.53,105.67,100.81,109.23,99.5,102.68,103.24,98.94,97.07,112.03,109.42,108.29,112.97
1990-06-01,111.23,106.95,109.55,104.52,114.59,114.59,106.01,102.85,107.88,98.93,102.29,102.85,98.56,99.49,111.6,109.0,107.88,112.54
1990-07-01,110.44,108.58,109.14,104.12,113.78,114.52,106.54,103.75,107.09,92.62,103.75,104.12,98.0,98.37,111.92,109.14,107.47,114.33
1990-08-01,110.48,108.63,109.0,103.99,113.82,114.37,106.22,103.62,106.96,99.91,101.4,104.18,98.06,98.99,111.96,109.55,107.33,114.37
1990-09-01,113.53,108.35,108.72,103.73,115.75,116.3,108.54,104.47,109.09,102.43,100.03,106.69,100.58,101.51,113.34,113.34,109.27,116.67
1990-10-01,120.78,107.58,107.76,102.81,122.24,123.16,114.91,110.15,115.09,113.44,107.58,116.74,111.25,112.53,118.94,116.38,118.03,128.66
1990-11-01,122.57,106.91,107.09,102.17,123.48,125.3,120.02,117.11,121.3,115.47,97.25,115.65,113.28,114.37,127.31,122.93,120.75,132.59
1990-12-01,128.92,119.08,107.22,102.3,128.74,129.11,120.17,113.24,120.72,118.16,105.58,122.36,106.13,110.51,120.17,123.09,121.99,135.49
1991-01-01,130.6,128.82,104.48,99.68,128.46,128.46,117.8,100.04,116.92,114.43,98.26,120.29,112.65,112.83,119.76,123.13,125.09,136.11
1991-02-01,122.78,127.4,104.48,99.68,119.76,119.4,111.05,91.86,111.05,101.1,81.91,101.81,76.94,79.78,109.81,117.09,121.18,134.33
1991-03-01,114.72,120.38,104.1,99.32,112.24,111.71,103.74,92.94,105.16,90.29,79.31,91.7,81.97,80.55,97.37,104.98,112.95,128.88
1991-04-01,109.58,113.3,104.1,99.32,109.23,109.41,98.43,88.87,100.56,85.51,79.49,87.1,77.36,75.77,96.66,99.85,108.52,116.31
1991-05-01,108.88,107.12,103.59,98.84,109.41,109.05,100.77,95.84,100.77,88.62,85.45,92.32,90.03,86.86,102.01,99.36,106.59,113.28
1991-06-01,108.35,105.9,103.09,98.36,110.81,110.46,103.09,100.64,101.69,84.51,69.26,76.97,83.98,85.56,95.91,98.89,105.72,112.39
1991-07-01,108.22,104.37,102.97,98.24,110.68,110.33,104.9,99.64,101.57,94.39,92.11,94.21,91.59,92.64,97.72,95.44,105.6,108.92
1991-08-01,108.27,104.07,102.85,98.12,111.07,111.07,104.6,96.03,100.4,95.5,87.8,93.23,94.1,94.63,102.5,96.38,105.12,108.97
1991-09-01,108.35,105.55,103.09,98.36,115.72,116.24,104.15,97.48,102.04,94.33,77.85,88.02,89.59,96.26,103.8,99.59,105.37,107.83
1991-10-01,108.49,107.26,103.22,98.48,115.86,116.38,103.39,90.23,102.17,82.15,83.21,84.44,88.3,89.35,102.17,99.71,105.5,108.31
1991-11-01,108.09,106.87,102.85,98.12,110.72,109.84,99.35,93.05,100.57,94.63,84.83,94.28,83.26,85.18,102.67,99.35,105.12,109.67
1991-12-01,108.62,107.56,103.34,98.6,103.52,106.33,99.83,90.16,99.48,91.04,82.08,90.16,82.08,87.17,90.86,97.19,105.45,111.25
1992-01-01,108.35,107.83,103.09,98.36,112.74,110.81,101.52,91.0,102.39,87.49,88.19,91.0,85.74,80.83,98.54,95.56,105.02,112.04
1992-02-01,108.22,107.7,102.97,98.24,108.57,103.67,100.52,85.81,100.87,80.38,80.91,83.88,73.2,77.05,90.54,93.69,104.9,111.9
