province,city,Year,cents,population,vehicles
Newfoundland and Labrador,St. John's,1990,114.22583333333334,171859,85930
Prince Edward Island,Charlottetown,1990,107.40749999999998,15396,7698
Nova Scotia,Halifax,1990,109.35083333333334,320501,160250
New Brunswick,Saint John,1990,104.33,124981,62490
Québec,Québec,1990,116.04166666666667,645550,322775
Québec,Montréal,1990,116.69083333333333,3127242,1563621
Ontario,Ottawa,1990,109.3825,920857,460428
Ontario,Toronto,1990,103.42,3893046,1946523
Ontario,Thunder Bay,1990,110.61083333333333,124427,62214
Manitoba,Winnipeg,1990,102.78750000000001,652354,326177
Saskatchewan,Regina,1990,101.67583333333333,191692,95846
Saskatchewan,Saskatoon,1990,107.7025,210023,105012
Alberta,Edmonton,1990,99.65833333333335,839924,419962
Alberta,Calgary,1990,100.59416666666668,754033,377016
British Columbia,Vancouver,1990,114.20333333333333,1602502,801251
British Columbia,Victoria,1990,111.64916666666666,287897,143948
Yukon,Whitehorse,1990,111.24583333333334,19519,9760
Northwest Territories,Yellowknife,1990,118.0075,16229,8114
Newfoundland and Labrador,St. John's,1991,112.07916666666667,171859,85930
Prince Edward Island,Charlottetown,1991,111.55,15396,7698
Nova Scotia,Halifax,1991,103.51333333333334,320501,160250
New Brunswick,Saint John,1991,98.75999999999999,124981,62490
Québec,Québec,1991,113.12333333333333,645550,322775
Québec,Montréal,1991,113.22333333333334,3127242,1563621
Ontario,Ottawa,1991,104.25833333333333,920857,460428
Ontario,Toronto,1991,94.73166666666667,3893046,1946523
Ontario,Thunder Bay,1991,103.53166666666668,124427,62214
Manitoba,Winnipeg,1991,93.04166666666667,652354,326177
Saskatchewan,Regina,1991,83.46333333333332,191692,95846
Saskatchewan,Saskatoon,1991,92.8775,210023,105012
Alberta,Edmonton,1991,87.65416666666665,839924,419962
Alberta,Calgary,1991,88.88166666666666,754033,377016
British Columbia,Vancouver,1991,101.77,1602502,801251
British Columbia,Victoria,1991,102.58,287897,143948
Yukon,Whitehorse,1991,109.35083333333334,19519,9760
Northwest Territories,Yellowknife,1991,116.35416666666667,16229,8114
Newfoundland and Labrador,St. John's,1992,105.4325,172297,86148
Prince Edward Island,Charlottetown,1992,105.42750000000001,18823,9412
Nova Scotia,Halifax,1992,101.03666666666668,324994,162497
New Brunswick,Saint John,1992,97.21499999999999,125126,62563
Québec,Québec,1992,105.995,652247,326124
Québec,Montréal,1992,104.48666666666666,3171742,1585871
Ontario,Ottawa,1992,99.38499999999999,937685,468842
Ontario,Toronto,1992,90.92333333333333,3967188,1983594
Ontario,Thunder Bay,1992,99.29416666666667,124870,62435
Manitoba,Winnipeg,1992,85.91333333333334,656305,328152
Saskatchewan,Regina,1992,85.7275,192084,96042
Saskatchewan,Saskatoon,1992,89.47166666666668,211830,105915
Alberta,Edmonton,1992,82.5125,844459,422230
Alberta,Calgary,1992,80.83916666666666,767671,383836
British Columbia,Vancouver,1992,93.33333333333333,1648335,824168
British Columbia,Victoria,1992,90.46499999999999,291175,145588
Yukon,Whitehorse,1992,101.42,19447,9724
Northwest Territories,Yellowknife,1992,111.65249999999999,16438,8219
Newfoundland and Labrador,St. John's,1993,96.99833333333333,172736,86368
Prince Edward Island,Charlottetown,1993,96.71499999999999,22250,11125
Nova Scotia,Halifax,1993,86.33999999999999,329487,164744
New Brunswick,Saint John,1993,93.2325,125271,62636
Québec,Québec,1993,100.55833333333334,658944,329472
Québec,Montréal,1993,97.84166666666665,3216242,1608121
Ontario,Ottawa,1993,92.39,954512,477256
Ontario,Toronto,1993,87.10833333333333,4041330,2020665
Ontario,Thunder Bay,1993,96.29083333333334,125313,62656
Manitoba,Winnipeg,1993,88.74083333333334,660256,330128
Saskatchewan,Regina,1993,91.25666666666666,192476,96238
Saskatchewan,Saskatoon,1993,94.85583333333334,213636,106818
Alberta,Edmonton,1993,77.82833333333333,848993,424496
Alberta,Calgary,1993,80.57583333333334,781308,390654
British Columbia,Vancouver,1993,93.24666666666667,1694167,847084
British Columbia,Victoria,1993,86.86666666666667,294453,147226
Yukon,Whitehorse,1993,98.79166666666667,19374,9687
Northwest Territories,Yellowknife,1993,111.045,16647,8324
Newfoundland and Labrador,St. John's,1994,99.60166666666667,173174,86587
Prince Edward Island,Charlottetown,1994,93.54833333333333,25677,12838
Nova Scotia,Halifax,1994,88.34833333333334,333980,166990
New Brunswick,Saint John,1994,91.20083333333334,125415,62708
Québec,Québec,1994,96.48083333333334,665642,332821
Québec,Montréal,1994,93.8125,3260742,1630371
Ontario,Ottawa,1994,89.36083333333333,971340,485670
Ontario,Toronto,1994,84.77499999999999,4115473,2057736
Ontario,Thunder Bay,1994,95.60000000000001,125757,62878
Manitoba,Winnipeg,1994,88.8725,664207,332104
Saskatchewan,Regina,1994,94.64333333333333,192868,96434
Saskatchewan,Saskatoon,1994,94.105,215443,107722
Alberta,Edmonton,1994,77.1425,853528,426764
Alberta,Calgary,1994,80.67916666666666,794946,397473
British Columbia,Vancouver,1994,94.5575,1740000,870000
British Columbia,Victoria,1994,88.13583333333334,297731,148866
Yukon,Whitehorse,1994,98.75,19302,9651
Northwest Territories,Yellowknife,1994,111.72250000000001,16857,8428
Newfoundland and Labrador,St. John's,1995,104.47416666666668,173613,86806
Prince Edward Island,Charlottetown,1995,98.69416666666666,29104,14552
Nova Scotia,Halifax,1995,90.34166666666665,338473,169236
New Brunswick,Saint John,1995,93.22583333333334,125560,62780
Québec,Québec,1995,96.79416666666667,672339,336170
Québec,Montréal,1995,94.58583333333333,3305242,1652621
Ontario,Ottawa,1995,89.585,988167,494084
Ontario,Toronto,1995,87.12083333333334,4189615,2094808
Ontario,Thunder Bay,1995,94.2625,126200,63100
Manitoba,Winnipeg,1995,90.94083333333333,668158,334079
Saskatchewan,Regina,1995,95.64083333333333,193260,96630
Saskatchewan,Saskatoon,1995,96.21750000000002,217249,108624
Alberta,Edmonton,1995,79.16416666666667,858062,429031
Alberta,Calgary,1995,83.1875,808583,404292
British Columbia,Vancouver,1995,97.24666666666667,1785832,892916
British Columbia,Victoria,1995,91.27333333333333,301009,150504
Yukon,Whitehorse,1995,105.50999999999999,19229,9614
Northwest Territories,Yellowknife,1995,116.81083333333333,17066,8533
Newfoundland and Labrador,St. John's,1996,100.59500000000001,174051,87026
Prince Edward Island,Charlottetown,1996,96.91000000000001,32531,16266
Nova Scotia,Halifax,1996,89.71583333333332,342966,171483
New Brunswick,Saint John,1996,90.33,125705,62852
Québec,Québec,1996,99.35000000000001,679036,339518
Québec,Montréal,1996,99.23583333333333,3349742,1674871
Ontario,Ottawa,1996,90.2025,1004995,502498
Ontario,Toronto,1996,91.94833333333334,4263757,2131878
Ontario,Thunder Bay,1996,100.22833333333334,126643,63322
Manitoba,Winnipeg,1996,93.16166666666668,672109,336054
Saskatchewan,Regina,1996,97.07333333333334,193652,96826
Saskatchewan,Saskatoon,1996,99.66083333333334,219056,109528
Alberta,Edmonton,1996,81.22333333333333,862597,431298
Alberta,Calgary,1996,84.67083333333333,822221,411110
British Columbia,Vancouver,1996,97.075,1831665,915832
British Columbia,Victoria,1996,94.81,304287,152144
Yukon,Whitehorse,1996,109.77333333333333,19157,9578
Northwest Territories,Yellowknife,1996,119.95833333333333,17275,8638
Newfoundland and Labrador,St. John's,1997,109.12,173824,86912
Prince Edward Island,Charlottetown,1997,97.78916666666667,32474,16237
Nova Scotia,Halifax,1997,97.7375,346209,173104
New Brunswick,Saint John,1997,97.02833333333332,125100,62550
Québec,Québec,1997,98.8725,681211,340606
Québec,Montréal,1997,99.87916666666666,3369991,1684996
Ontario,Ottawa,1997,90.32416666666667,1018045,509022
Ontario,Toronto,1997,90.52833333333332,4347585,2173792
Ontario,Thunder Bay,1997,100.97083333333335,125712,62856
Manitoba,Winnipeg,1997,92.50666666666666,673006,336503
Saskatchewan,Regina,1997,96.75166666666667,193482,96741
Saskatchewan,Saskatoon,1997,97.68,220430,110215
Alberta,Edmonton,1997,84.03916666666667,877647,438824
Alberta,Calgary,1997,85.70583333333333,848084,424042
British Columbia,Vancouver,1997,94.86833333333334,1862725,931362
British Columbia,Victoria,1997,95.16000000000001,305810,152905
Yukon,Whitehorse,1997,109.4175,19137,9568
Northwest Territories,Yellowknife,1997,119.16250000000001,17128,8564
Newfoundland and Labrador,St. John's,1998,102.78000000000002,173598,86799
Prince Edward Island,Charlottetown,1998,85.65750000000001,32417,16208
Nova Scotia,Halifax,1998,91.16083333333334,349453,174726
New Brunswick,Saint John,1998,88.37833333333333,124494,62247
Québec,Québec,1998,88.08583333333333,683386,341693
Québec,Montréal,1998,89.84333333333332,3390240,1695120
Ontario,Ottawa,1998,81.9825,1031095,515548
Ontario,Toronto,1998,82.39333333333333,4431413,2215706
Ontario,Thunder Bay,1998,86.2925,124780,62390
Manitoba,Winnipeg,1998,85.10333333333334,673903,336952
Saskatchewan,Regina,1998,88.85416666666667,193311,96656
Saskatchewan,Saskatoon,1998,90.46750000000002,221804,110902
Alberta,Edmonton,1998,75.07666666666667,892696,446348
Alberta,Calgary,1998,78.02833333333334,873947,436974
British Columbia,Vancouver,1998,80.74666666666667,1893785,946892
British Columbia,Victoria,1998,84.17166666666667,307333,153666
Yukon,Whitehorse,1998,106.77083333333333,19117,9558
Northwest Territories,Yellowknife,1998,115.10916666666667,16981,8490
Newfoundland and Labrador,St. John's,1999,103.79083333333334,173371,86686
Prince Edward Island,Charlottetown,1999,83.02333333333333,32359,16180
Nova Scotia,Halifax,1999,95.32249999999999,352696,176348
New Brunswick,Saint John,1999,92.765,123889,61944
Québec,Québec,1999,96.39833333333333,685560,342780
Québec,Montréal,1999,98.875,3410490,1705245
Ontario,Ottawa,1999,88.05666666666667,1044144,522072
Ontario,Toronto,1999,90.1375,4515241,2257620
Ontario,Thunder Bay,1999,91.03500000000001,123849,61924
Manitoba,Winnipeg,1999,89.83833333333332,674800,337400
Saskatchewan,Regina,1999,94.89916666666666,193141,96570
Saskatchewan,Saskatoon,1999,93.85166666666667,223179,111590
Alberta,Edmonton,1999,80.58,907746,453873
Alberta,Calgary,1999,82.5775,899810,449905
British Columbia,Vancouver,1999,85.13083333333334,1924845,962422
British Columbia,Victoria,1999,92.92750000000001,308856,154428
Yukon,Whitehorse,1999,105.5675,19098,9549
Northwest Territories,Yellowknife,1999,115.45916666666666,16835,8418
Newfoundland and Labrador,St. John's,2000,126.71833333333335,173145,86572
Prince Edward Island,Charlottetown,2000,107.06916666666666,32302,16151
