province,Year,cents
Alberta,1990,100.12625000000001
British Columbia,1990,112.92625
Manitoba,1990,102.78750000000001
New Brunswick,1990,104.33
Newfoundland and Labrador,1990,114.22583333333334
Northwest Territories,1990,118.0075
Nova Scotia,1990,109.35083333333334
Ontario,1990,107.80444444444446
Prince Edward Island,1990,107.40749999999998
Québec,1990,116.36625
Saskatchewan,1990,104.68916666666667
Yukon,1990,111.24583333333334
Alberta,1991,88.26791666666666
British Columbia,1991,102.175
Manitoba,1991,93.04166666666667
New Brunswick,1991,98.75999999999999
Newfoundland and Labrador,1991,112.07916666666667
Northwest Territories,1991,116.35416666666667
Nova Scotia,1991,103.51333333333334
Ontario,1991,100.84055555555555
Prince Edward Island,1991,111.55
Québec,1991,113.17333333333333
Saskatchewan,1991,88.17041666666667
Yukon,1991,109.35083333333334
Alberta,1992,81.67583333333333
British Columbia,1992,91.89916666666666
Manitoba,1992,85.91333333333334
New Brunswick,1992,97.21499999999999
Newfoundland and Labrador,1992,105.4325
Northwest Territories,1992,111.65249999999999
Nova Scotia,1992,101.03666666666668
Ontario,1992,96.53416666666668
Prince Edward Island,1992,105.42750000000001
Québec,1992,105.24083333333334
Saskatchewan,1992,87.59958333333333
Yukon,1992,101.42
Alberta,1993,79.20208333333333
British Columbia,1993,90.05666666666667
Manitoba,1993,88.74083333333334
New Brunswick,1993,93.2325
Newfoundland and Labrador,1993,96.99833333333333
Northwest Territories,1993,111.045
Nova Scotia,1993,86.33999999999999
Ontario,1993,91.92972222222222
Prince Edward Island,1993,96.71499999999999
Québec,1993,99.2
Saskatchewan,1993,93.05624999999999
Yukon,1993,98.79166666666667
Alberta,1994,78.91083333333333
British Columbia,1994,91.34666666666668
Manitoba,1994,88.8725
New Brunswick,1994,91.20083333333334
Newfoundland and Labrador,1994,99.60166666666667
Northwest Territories,1994,111.72250000000001
Nova Scotia,1994,88.34833333333334
Ontario,1994,89.91194444444444
Prince Edward Island,1994,93.54833333333333
Québec,1994,95.14666666666666
Saskatchewan,1994,94.37416666666667
Yukon,1994,98.75
Alberta,1995,81.17583333333333
British Columbia,1995,94.26
Manitoba,1995,90.94083333333333
New Brunswick,1995,93.22583333333334
Newfoundland and Labrador,1995,104.47416666666668
Northwest Territories,1995,116.81083333333333
Nova Scotia,1995,90.34166666666665
Ontario,1995,90.32277777777779
Prince Edward Island,1995,98.69416666666666
Québec,1995,95.69
Saskatchewan,1995,95.92916666666667
Yukon,1995,105.50999999999999
Alberta,1996,82.94708333333334
British Columbia,1996,95.9425
Manitoba,1996,93.16166666666668
New Brunswick,1996,90.33
Newfoundland and Labrador,1996,100.59500000000001
Northwest Territories,1996,119.95833333333333
Nova Scotia,1996,89.71583333333332
Ontario,1996,94.12638888888888
Prince Edward Island,1996,96.91000000000001
Québec,1996,99.29291666666667
Saskatchewan,1996,98.36708333333333
Yukon,1996,109.77333333333333
Alberta,1997,84.8725
British Columbia,1997,95.01416666666667
Manitoba,1997,92.50666666666666
New Brunswick,1997,97.02833333333332
Newfoundland and Labrador,1997,109.12
Northwest Territories,1997,119.16250000000001
Nova Scotia,1997,97.7375
Ontario,1997,93.94111111111111
Prince Edward Island,1997,97.78916666666667
Québec,1997,99.37583333333333
Saskatchewan,1997,97.21583333333332
Yukon,1997,109.4175
Alberta,1998,76.5525
British Columbia,1998,82.45916666666666
Manitoba,1998,85.10333333333334
New Brunswick,1998,88.37833333333333
Newfoundland and Labrador,1998,102.78000000000002
Northwest Territories,1998,115.10916666666667
Nova Scotia,1998,91.16083333333334
Ontario,1998,83.55611111111112
Prince Edward Island,1998,85.65750000000001
Québec,1998,88.96458333333334
Saskatchewan,1998,89.66083333333334
Yukon,1998,106.77083333333333
Alberta,1999,81.57875
British Columbia,1999,89.02916666666665
Manitoba,1999,89.83833333333332
New Brunswick,1999,92.765
Newfoundland and Labrador,1999,103.79083333333334
Northwest Territories,1999,115.45916666666666
Nova Scotia,1999,95.32249999999999
Ontario,1999,89.74305555555556
Prince Edward Island,1999,83.02333333333333
Québec,1999,97.63666666666666
Saskatchewan,1999,94.37541666666668
Yukon,1999,105.5675
Alberta,2000,97.40125
British Columbia,2000,108.87666666666667
Manitoba,2000,101.81583333333333
New Brunswick,2000,111.93666666666667
Newfoundland and Labrador,2000,126.71833333333335
Northwest Territories,2000,130.5
Nova Scotia,2000,116.14999999999999
Ontario,2000,108.11527777777776
Prince Edward Island,2000,107.06916666666666
Québec,2000,113.84791666666666
Saskatchewan,2000,109.45791666666668
Yukon,2000,124.24333333333334
Alberta,2001,93.74125
British Columbia,2001,106.43291666666666
Manitoba,2001,96.88416666666667
New Brunswick,2001,104.3275
Newfoundland and Labrador,2001,117.87916666666666
Northwest Territories,2001,131.4975
Nova Scotia,2001,108.51583333333333
Ontario,2001,102.46861111111112
Prince Edward Island,2001,107.16666666666667
Québec,2001,110.04708333333333
